Company legal name,Company name,Bud,additional Buds,Regex,additional Regex,Symbols[market_name],OHCHR25/UN/2025-09-26,OHCHR23/UN/2023-06-30,UNSR_OPT/UN/2025-01-01,DBIO/NGO/2024-01-01,TEST/FREEPORTS/2025-01-01
A. Barkan and Partners Ltd.,A Barkan and Partners,barkan,,\bbarkan\b,,,1,0,0,0,0
A.P. Møller - Mærsk AS,AP Møller Mærsk,,ap maersk | ap moeller | maersk,,,MAERAC,0,0,1,0,1
Ackerstein Industries Ltd.,Ackerstein Industries,ackerstein,,\backerstein\b,,,1,0,0,0,0
ACS Actividades de Construcción y Servicios S.A.,ACS Actividades de Construcción y Servicios,actividades de construccion y servicios,,\bactividades de construccion y servicios\b,,,1,0,0,0,0
Ahava – Dead Sea Laboratories Ltd.,Ahava Dead Sea Laboratories,ahava,dead sea laboratories,\bahava\b,,,1,0,0,0,0
Airbnb Inc,Airbnb,airbnb,airbnb co,\bairbnb\b,,ABNB | ABNB[2] | AIRB[2],1,1,1,1,1
Alon Blue Square Israel Ltd,Alon Blue Square,alon blue,,\balon blue\b,,,1,1,0,1,0
Alphabet Inc,Alphabet,alphabet,,\balphabet\b,,GOOGL,0,0,1,0,1
Alstom SA,Alstom SA,alstom,,\balstom\b,,ALO | ALSO[2] | ALSMY[2],0,1,0,1,0
Altice International Sarl,Altice International,altice,altice europe,\baltice\b,,,1,1,0,1,1
Amazon.com Inc,Amazon,amazon,,\bamazon\b,,AMZN,0,0,1,0,1
American Israeli Gas Corp. Ltd,American Israeli Gas Corp,american israeli ga,amisragas,\bamerican israeli ga\b,,,1,1,0,0,0
Amir Marketing and Investments in Agriculture Ltd,Amir Marketing and Investments in Agriculture,amir,,\bamir\b,,AMRK,1,1,0,0,0
Amos Hadar Properties and Investments Ltd,Amos Hadar Properties and Investments,amos,,\bamos\b,,,1,1,0,0,0
Amot Investments Ltd.,Amot Investments,amot,,\bamot\b,,,1,0,0,0,0
Anglo Saxon Real Estate Agency (Israel 1992) Ltd.,Anglo Saxon Real Estate Agency,anglo saxon,saxon agency,\banglo saxon\b,,,1,0,0,0,0
Apple Inc,Apple,,,,,,0,0,0,0,1
Archivists Ltd,Archivists,,,,,,1,1,0,1,0
Ariel Properties Group Ltd,Ariel Properties Group,ariel properties,ariel group,\bariel properties\b,,,0,1,0,0,0
Ashdod refinery Ltd,Ashdod refinery,ashdod,,\bashdod\b,,ARF,0,0,0,1,0
Ashtrom Group Ltd,Ashtrom Group,ashtrom,,\bashtrom\b,,ASHG,1,1,0,0,1
Ashtrom Industries Ltd,Ashtrom Industries,ashtrom,,\bashtrom\b,,,1,1,0,0,1
Ashtrom Residential Development Ltd.,Ashtrom Residential Development,ashtrom residential,,\bashtrom residential\b,,,1,0,0,0,1
Axel Springer SE,Axel Springer,axel,,\baxel\b,,,0,0,0,1,0
B. Gaon Holdings Ltd.,B. Gaon Holdings,b gaon,,\bb gaon\b,,,1,0,0,0,0
Bank Hapoalim BM,Bank Hapoalim,bank hapoalim,,\bbank hapoalim\b,,POLI | BKH[2] | BKHYY[2] | BKHPY[2],1,1,0,1,0
Bank Leumi le-Israel BM,Bank Leumi,leumi,,\bleumi\b,,LUMI | BLMIF[2],1,1,0,1,0
Bank of Jerusalem Ltd,Bank of Jerusalem,,jerusalem bank,,,JBNK,1,1,0,0,0
"Bar-Amana Buildings Construction and
Development Company Ltd.","Bar-Amana Buildings Construction and
Development Company",bar amana,,\bbar amana\b,,,1,0,0,0,0
"Barad Earthworks, Development and Roadworks","Barad Earthworks, Development and Roadworks",barad,,\bbarad\b,,,1,0,0,0,0
Baran Group Ltd.,Baran Group,baran,,\bbaran\b,,,1,0,0,0,0
Bardarian Brothers Ltd.,Bardarian Brothers,bardarian,,\bbardarian\b,,,1,0,0,0,0
Beit Haarchiv Ltd,Beit Haarchiv,beit,haarchiv,\bbeit\b,,,1,1,0,1,0
Bezeq The Israeli Telecomunication Corp. Ltd,Bezeq Corp,bezeq,,\bbezeq\b,,BEZQ | BZQI[2],1,1,0,1,0
Bombardier Transportation Israel,Bombardier Transportation Israel,bombardier transportation,bombardier israel,\bbombardier transportation\b,,,1,1,0,1,0
"Boneich Construction Development & Investments
Ltd",Boneich Construction Development & Investments,boneich,,\bboneich\b,,,1,0,0,0,0
Booking Holdings Inc,Booking Holdings,booking,,\bbooking\b,,BKNG | BKNG[2] | BKNG[2],1,1,1,1,1
Booking.com BV,Booking.com,,,,,,1,1,1,1,1
BP Plc,BP Plc,,,,,,0,0,1,0,1
Bright Dairy & Food Co. Ltd,Bright Dairy & Food Ltd,bright dairy,,\bbright dairy\b,,,0,0,0,1,0
Bright Food Group Co. Ltd,Bright Food Group,bright food,,\bbright food\b,,,0,0,1,0,1
"Brothers Hasid Construction Contracting Company
Ltd.",Brothers Hasid Construction Contracting Company,brothers hasid,,\bbrothers hasid\b,,,1,0,0,0,0
C. Mer Industries Ltd,C Mer Industries,c mer,mer industries,\bc mer\b,,CMER,1,1,0,0,0
Caliber 3,Caliber 3,caliber,,\bcaliber\b,,,1,1,0,0,0
Carlsberg Group AS,Carlsberg Group,carlsberg,,\bcarlsberg\b,,CARL | CARL[2] | CABGY[2],0,0,0,1,1
Carrefour SA,Carrefour,,,,,CARR[2] | CRRFY[2],0,0,0,1,1
Caterpillar Inc,Caterpillar,,,,,CAT,0,0,1,1,1
Cellcom Israel Ltd,Cellcom Israel,cellcom,,\bcellcom\b,,CEL,1,1,0,1,0
Cemex SAB de CV,Cemex,,,,,CX,0,0,0,1,0
Cherriessa Ltd,Cherriessa,,,,,,1,1,0,0,0
Chevron Corporation,Chevron,,,,,CVX,0,0,1,0,1
Chish Nofei Israel Ltd,Chish Nofei Israel Ltd,chish nofei,,\bchish nofei\b,,,1,1,0,0,0
Cim Lustigman Development and Construction Ltd,Cim Lustigman Development and Construction,cim lustigman,,\bcim lustigman\b,,,1,0,0,0,0
Cisco Systems Inc,Cisco Systems,cisco,cisco sistems,cisco ?s[yi]stems?,,CSCO,0,0,0,1,1
CityBook Services Ltd,CityBook Services,citybook,,\bcitybook\b,,,1,0,0,0,0
CNH Industrial NV,CNH Industrial,,,,,,0,0,0,1,1
Comasco Ltd,Comasco Ltd,comasco,,\bcomasco\b,,,1,1,0,0,0
Construcciones y Auxiliar de Ferrocarriles SA,Construcciones y Auxiliar de Ferrocarriles SA,construcciones y auxiliar,ferrocarriles | caf sa,\bconstrucciones y auxiliar\b,,CAF,1,0,1,1,1
D.B.S Satellite Service Ltd,DBS Satellite Service,satellite service,,\bsatellite service\b,,,1,1,0,0,0
D.N. Kol-Gader Ltd.,D.N. Kol-Gader,kol gader,dn kol,\bkol gader\b,,,1,0,0,0,0
"Dalia Elispur Construction Contracting Company
1972 Ltd",Dalia Elispur Construction Contracting Company,dalia elispur,,\bdalia elispur\b,,,1,0,0,0,0
Danya Cebus Ltd,Danya Cebus,,,,,DNYA,0,0,0,1,0
Delek Group Ltd,Delek Group,delek,,\bdelek\b,,DLEKG | DELKY[2],1,1,1,1,1
Delta Galil industries Ltd,Delta Galil Industries,delta galil,galil | delta,\bdelta galil\b,,DELG | DELTF,1,1,0,1,0
Delta Israel Brands Ltd,Delta Israel Brands,israel brands,delta brands,\bisrael brands\b,,DLTI,1,1,0,0,0
Dor Alon Energy in Israel 1988 Ltd,Dor Alon Energy Ltd.,dor alon,,\bdor alon\b,,DRAL,1,1,0,0,0
Drummond Company Inc,Drummond Company,drummond,,\bdrummond\b,,,0,0,1,0,1
E.T. Legal Services Ltd.,E.T. Legal Services,et legal,,\bet legal\b,,,1,0,0,0,0
eDreams ODIGEO SA,eDreams ODIGEO,edreams,,\bedreams\b,,EDRE | EDRE[2] | EDEMY[2] | EDDRF[2],0,1,0,1,1
Egged Transportation Ltd,Egged Transportation Ltd,egged,,\begged\b,,,1,1,0,0,0
Egis Group,Egis Group,egis,,\begis\b,,,1,1,0,0,0
Egis Rail,Egis Rail SA,egis,,\begis\b,,,1,1,0,0,0
Einav Hahetz 1965 Ltd.,Einav Hahetz,einav,hahetz,\beinav\b,,,1,0,0,0,0
Elbit Systems Ltd,Elbit Systems,elbit,,\belbit\b,,ESLT,0,0,1,1,1
Elco Ltd.,Elco,,,,,,1,0,0,0,0
Electra Afikim Ltd,Electra Afikim,electra,,\belectra\b,,,1,1,0,1,0
Electra Group Ltd,Electra Group,electra,,\belectra\b,,ELTR | ETRZF[2],1,1,0,1,0
Electricity Production and Renewable Energy Systems Ltd,Electricity Production and Renewable Energy Systems Ltd,energy systems,epr energy systems | epr systems,\benergy systems\b,,,1,1,0,0,0
Elyakim Ben-Ari Ltd.,Elyakim Ben-Ari,elyakim,ben ari,\belyakim\b,,,1,0,0,0,0
Euro-Israel (Y.S.) Ltd.,Euro-Israel,euro israel,,\beuro israel\b,,,1,0,0,0,0
Expedia Group Inc,Expedia,,,,,EXPE | EXGR[2],1,1,0,1,1
Export Investment Company Ltd,Export Investment Company Ltd,,export ic | export company,,,EXPO,1,1,0,0,0
Extal Ltd,Extal,,,,,,1,1,0,0,0
Extra Retail Group Ltd.,Extra Retail Group,extra retail,,\bextra retail\b,,,1,0,0,0,0
FANUC Corporation,FANUC Corp,fanuc,,\bfanuc\b,,FANUY[2],0,0,1,0,1
Field Produce Ltd,Field Produce,,,,,,1,1,0,0,0
Field Produce Marketing Ltd,Field Produce Marketing,,field marketing,,,,1,1,0,0,0
First International Bank of Israel Ltd,First International Bank of Israel,international bank of israel,fi bank of israel | fib of israel,\binternational bank of israel\b,,FIBI | FBKIF[2],1,1,0,0,0
Fosun International Ltd.,Fosun International,fosun,,\bfosun\b,,,1,0,0,0,0
Gadish Engineering Company Ltd. (Gadish Group),Gadish Group,gadish,,\bgadish\b,,,1,0,0,0,0
Galnor Construction and Development Ltd.,Galnor Construction and Development,galnor,,\bgalnor\b,,,1,0,0,0,0
Galshan Shvakim Ltd.,Galshan Shvakim Plc,shvakim,,\bshvakim\b,,,1,1,0,0,0
"Geo-Da – Lands & Property Management &
Information Ltd.","Geo-Da Lands & Property Management &
Information",geo da,,\bgeo da\b,,,1,0,0,0,0
Glencore plc,Glencore,,,,,GLEN | GLNCY[2],0,0,1,0,1
Greenkote Plc,Greenkote,,,,,,1,1,0,0,0
"Greenmix, of Benny and Tzvika Group Ltd.","Greenmix, of Benny and Tzvika Group",greenmix,benny and tzvika,\bgreenmix\b,,,1,0,0,0,0
Hadar Group Ltd,Hadar Group,hadar,,\bhadar\b,,,1,1,0,0,0
Hadiklaim Israel Date Growers Cooperative Ltd,Hadiklaim Ltd,hadiklaim,,\bhadiklaim\b,,,0,1,0,0,0
Haim Zaken Construction & Investments Ltd.,Haim Zaken Construction & Investments,haim zaken,,\bhaim zaken\b,,,1,0,0,0,0
Hamat Group Ltd,Hamat Group,hamat,,\bhamat\b,,HAMAT | MCBMF[2],1,1,0,1,0
Hangzhou Hikvision Digital Technology Co. Ltd,Hangzhou Hikvision Digital Technology Co,hangzhou hikvision,hikvision | hikvision digital tech,\bhangzhou hikvision\b,,,0,0,0,1,0
Hanson Israel Ltd,Hanson Israel Ltd,hanson,,\bhanson\b,,,0,0,1,1,1
Harsa Studio – Sanitaryware Manufacturers Ltd.,Harsa Studio Sanitaryware Manufacturers,harsa studio,,\bharsa studio\b,,,1,0,0,0,0
HD Hyundai Co. Ltd,HD Hyundai,hyundai,,\bhyundai\b,,HYMTF[2],0,0,1,1,1
HD Hyundai Infracore Co. Ltd,HD Hyundai Infracore,hyundai infracore,,\bhyundai infracore\b,,,0,0,1,1,1
Heidelberg Materials AG,Heidelberg Materials,heidelberg,,\bheidelberg\b,,HEI | HDLMY[2],1,0,1,1,1
Hewlett Packard Enterprise Company,Hewlett Packard Enterprise,hewlett packard,,\bhewlett packard\b,,HPE,0,0,1,1,1
Hilan Ltd,Hilan Ltd,hilan,,\bhilan\b,,HALN | HLTEF[2],0,0,0,1,0
Hot Mobile Ltd,Hot Mobile Ltd,hot mobile,,\bhot mobile\b,,,1,1,0,1,0
Hot Telecommunications Systems Ltd,Hot Telecommunications Systems,hot telecommunications,hot systems,\bhot telecommunications\b,,,1,1,0,1,0
ICL Group Ltd,ICL Group,icl,,\bicl\b,,ICL,0,0,0,1,0
"Ingeniería y Economía del Transporte S.M.E. M.P,
S.A. (Ineco)",Ingeniería y Economía del Transporte,,ineco,,,,1,0,0,0,0
International Business Machines Corp.,International Business Machines,,,,,IBM,0,0,1,1,1
Israel Aereospace Industries Ltd,Israel Aereospace Industries,aereospace industries,il aereospaces industries,\baereospace industries\b,,,0,0,1,0,1
Israel Discount Bank Ltd,Israel Discount Bank,discount bank,il discount bank,\bdiscount bank\b,,DSCT | ISDAY[2] | ISDAF[2],1,1,0,1,0
Israel Railways Corporation Ltd,Israel Railways Corporation,israel railways,,\bisrael railways\b,,,1,1,0,0,0
Italek Ltd,Italek Ltd,italek,,\bitalek\b,,,1,1,0,0,0
J.C. Bamford Excavators Ltd,JC Bamford Excavators,bamford excavators,excavators,\bbamford excavators\b,,,1,1,0,0,0
Kardan NV,Kardan NV,kardan,,\bkardan\b,,KRNV,0,1,0,0,0
Kass – C Ltd.,Kass,,,\b\b,,,1,0,0,0,0
Kavim Public Transportation Ltd,Kavim Public Transportation,kavim,,\bkavim\b,,,1,1,0,0,0
Keller Williams Reality Inc,Keller Williams Reality,keller williams,williams reality | keller reality,\bkeller williams\b,,,0,0,1,0,1
Keren Kayemeth LeIsrael,Keren Kayemeth LeIsrael,keren kayemeth,keren leisrael | kayemeth leisrael | jewish national fund,\bkeren kayemeth\b,,,0,0,1,0,1
