,company,subfund,holdings,fair value,% net asset
0,Siemens,Euroland Equity,1165494.0,202469617,0.0412
1,Siemens,Euroland Equity,2708422.0,65841739,0.0134
2,Siemens,European Equity ESG Improvers,57959.0,10068637,0.0217
3,Siemens,European Equity ESG Improvers,89112.0,4794226,0.0103
4,TKH Group,Euroland Equity Small Cap,200637.0,8169939,0.0215
5,Siemens,European Equity,22380.0,3887854,0.0403
6,Siemens,European Equity,71329.0,1734008,0.0179
7,Siemens,Europe ex UK Equity,923.0,160344,0.0325
8,Siemens,Europe ex UK Equity,3536.0,85960,0.0174
9,Alstom,European Equity Green Technology,281767.0,4423742,0.0258
10,Siemens,European Equity Value,369061.0,64113277,0.0241
11,CNH Industrial,European Equity Value,6230418.0,58565929,0.022000000000000002
12,Siemens,European Equity Income ESG,153986.0,26750448,0.0338
13,Siemens,Global Ecology ESG,298006.0,51769602,0.0204
14,Siemens,Global Ecology ESG,1009953.0,24551957,0.0097
15,Cisco Systems,Net Zero Ambition Global Equity,7857.0,373286,0.0204
16,Siemens,Global Equity Income ESG,212368.0,39539611,0.0147
17,Cisco Systems,Global Equity Income ESG,1140620.0,54190856,0.0202
18,Cisco Systems,US Equity Dividend Growth,219520.0,10429395,0.032799999999999996
19,Cisco Systems,US Equity ESG Improvers,183361.0,8711481,0.0458
20,Booking Holdings,US Equity ESG Improvers,681.0,2697782,0.014199999999999999
21,Motorola Solutions,US Equity Fundamental Growth,237496.0,85569471,0.0252
22,Booking Holdings,US Equity Fundamental Growth,19503.0,72088766,0.0213
23,Cisco Systems,US Equity Research,314676.0,13949388,0.0346
24,Cisco Systems,US Equity Research Value,576636.0,25561909,0.050199999999999995
25,Siemens,Polen Capital Global Growth,389826.0,22477426,0.0298
26,Airbnb,Polen Capital Global Growth,95712.0,14512811,0.019299999999999998
27,Siemens,Net Zero Ambition Top European Players,120393.0,20914672,0.036000000000000004
28,CNH Industrial,Net Zero Ambition Top European Players,224062.0,2106183,0.0036
29,Caterpillar,US Pioneer Fund,139244.0,43292639,0.0096
30,Carlsberg,Emerging Markets Equity Focus,146747.0,17622633,0.0066
31,Orbia,Emerging Markets Equity ESG Improvers,745700.0,1040732,0.0053
32,Cemex,Emerging World Equity,225846.0,1440897,0.0012
33,Cemex,Latin America Equity,129424.0,825725,0.0083
34,Heidelberg Materials,Euroland Equity Dynamic Multi Factors,25351.0,2454484,0.0040999999999999995
35,Siemens,Euroland Equity Dynamic Multi Factors,64725.0,11244027,0.018799999999999997
36,Syensqo,Euroland Equity Risk Parity,8895.0,743355,0.005
37,Alstom,Euroland Equity Risk Parity,10253.0,160972,0.0011
38,Carrefour,Euroland Equity Risk Parity,65561.0,865405,0.0058
39,Heidelberg Materials,Euroland Equity Risk Parity,6130.0,593507,0.004
40,Siemens,Euroland Equity Risk Parity,2198.0,381837,0.0026
41,Siemens,Euroland Equity Risk Parity,9877.0,240110,0.0016
