,company,fair value,% net asset,subfund
0,Siemens,202469617,0.0412,Euroland Equity
1,Siemens,65841739,0.0134,Euroland Equity
2,Siemens,10068637,0.0217,European Equity ESG Improvers
3,Siemens,4794226,0.0103,European Equity ESG Improvers
4,TKH Group,8169939,0.0215,Euroland Equity Small Cap
5,Siemens,3887854,0.0403,European Equity
6,Siemens,1734008,0.0179,European Equity
7,Siemens,160344,0.0325,Europe ex UK Equity
8,Siemens,85960,0.0174,Europe ex UK Equity
9,Alstom,4423742,0.0258,European Equity Green Technology
10,Siemens,64113277,0.0241,European Equity Value
11,CNH Industrial,58565929,0.022,European Equity Value
12,Siemens,26750448,0.0338,European Equity Income ESG
13,Siemens,51769602,0.0204,Global Ecology ESG
14,Siemens,24551957,0.0097,Global Ecology ESG
15,Cisco Systems,373286,0.0204,Net Zero Ambition Global Equity
16,Siemens,39539611,0.0147,Global Equity Income ESG
17,Cisco Systems,54190856,0.0202,Global Equity Income ESG
18,Cisco Systems,10429395,0.0327999999999999,US Equity Dividend Growth
19,Cisco Systems,8711481,0.0458,US Equity ESG Improvers
20,Booking Holdings,2697782,0.0141999999999999,US Equity ESG Improvers
21,Motorola Solutions,85569471,0.0252,US Equity Fundamental Growth
22,Booking Holdings,72088766,0.0213,US Equity Fundamental Growth
23,Cisco Systems,13949388,0.0346,US Equity Research
24,Cisco Systems,25561909,0.0501999999999999,US Equity Research Value
25,Siemens,22477426,0.0298,Polen Capital Global Growth
26,Airbnb,14512811,0.0192999999999999,Polen Capital Global Growth
27,Siemens,20914672,0.036,Net Zero Ambition Top European Players
28,CNH Industrial,2106183,0.0036,Net Zero Ambition Top European Players
29,Caterpillar,43292639,0.0096,US Pioneer Fund
30,Carlsberg,17622633,0.0066,Emerging Markets Equity Focus
31,Orbia,1040732,0.0053,Emerging Markets Equity ESG Improvers
32,Cemex,1440897,0.0012,Emerging World Equity
33,Cemex,825725,0.0083,Latin America Equity
34,Heidelberg Materials,2454484,0.0040999999999999,Euroland Equity Dynamic Multi Factors
35,Siemens,11244027,0.0187999999999999,Euroland Equity Dynamic Multi Factors
36,Syensqo,743355,0.005,Euroland Equity Risk Parity
37,Alstom,160972,0.0011,Euroland Equity Risk Parity
38,Carrefour,865405,0.0058,Euroland Equity Risk Parity
39,Heidelberg Materials,593507,0.004,Euroland Equity Risk Parity
40,Siemens,381837,0.0026,Euroland Equity Risk Parity
41,Siemens,240110,0.0016,Euroland Equity Risk Parity
42,Siemens,917021,0.0062,Euroland Equity Risk Parity
43,Carlsberg,8552254,0.0121999999999999,European Equity Conservative
44,Carrefour,1896206,0.0027,European Equity Conservative
45,Siemens,1521787,0.0022,European Equity Conservative
46,Carlsberg,668821,0.005,European Equity Dynamic Multi Factors
47,Carrefour,53882,0.0004,European Equity Dynamic Multi Factors
48,Heidelberg Materials,106212,0.0008,European Equity Dynamic Multi Factors
