Publication date,Sub-fund,Format,Page,search name,Investee company legal name,Financial instrument,Nominal/Quantity,Market value,Market value in EUR,Associated banking group,OHCHR25/UN/2025-09-26,OHCHR23/UN/2023-06-30,UNSR_OPT/UN/2025-01-01,DBIO/NGO/2024-01-01,BR_SOY_DEFOREST_3K/TRASE.EARTH/2022-01-01,TEST/FREEPORTS/2025-01-01
 2024.12.31,AKTIV FÖRMÖGENHETSFÖRVALTNING,DANSKEINVEST-EN24,57,Volvo Car Corp,Volvo Car Corporation,EQUITY,242000.0,65001200.0,5672501.96,Danske Bank,0,0,1,1,0,1
 2024.12.31,DENMARK FOCUS,DANSKEINVEST-EN24,67,Carlsberg Group,Carlsberg Group AS,EQUITY,6497.0,4482930.0,601106.22,Danske Bank,0,0,0,1,0,1
 2024.12.31,EMERGING MARKETS SUSTAINABLE FUTURE,DANSKEINVEST-EN24,88,Siemens,Siemens AG,EQUITY,3885.0,287203.0,287203.0,Danske Bank,0,0,0,1,0,1
 2024.12.31,EMERGING MARKETS SUSTAINABLE FUTURE,DANSKEINVEST-EN24,89,HD Hyundai,HD Hyundai Co. Ltd,EQUITY,1658.0,412944.0,412944.0,Danske Bank,0,0,1,1,0,1
 2024.12.31,EURO HIGH YIELD BOND,DANSKEINVEST-EN24,92,Altice International,Altice International Sarl,BOND,100000.0,56450.0,56450.0,Danske Bank,1,1,0,1,0,1
 2024.12.31,EURO HIGH YIELD BOND,DANSKEINVEST-EN24,93,Volvo Car Corp,Volvo Car Corporation,BOND,100000.0,98088.0,98088.0,Danske Bank,0,0,1,1,0,1
 2024.12.31,EURO INVESTMENT GRADE CORPORATE BOND,DANSKEINVEST-EN24,95,Carlsberg Group,Carlsberg Group AS,BOND,7596000.0,7898577.0,7898577.0,Danske Bank,0,0,0,1,0,1
 2024.12.31,EURO INVESTMENT GRADE CORPORATE BOND,DANSKEINVEST-EN24,96,Carrefour,Carrefour SA,BOND,4100000.0,4254003.0,4254003.0,Danske Bank,0,0,0,1,0,1
 2024.12.31,EURO INVESTMENT GRADE CORPORATE BOND,DANSKEINVEST-EN24,98,CNH Industrial,CNH Industrial NV,BOND,2050000.0,2088595.0,2088595.0,Danske Bank,0,0,0,1,0,1
 2024.12.31,EURO INVESTMENT GRADE CORPORATE BOND,DANSKEINVEST-EN24,99,Volvo Car Corp,Volvo Car Corporation,BOND,1590000.0,1594070.0,1594070.0,Danske Bank,0,0,1,1,0,1
 2024.12.31,EURO INVESTMENT GRADE CORPORATE BOND,DANSKEINVEST-EN24,100,Booking Holdings,Booking Holdings Inc,BOND,931000.0,933011.0,933011.0,Danske Bank,1,1,1,1,0,1
 2024.12.31,EURO INVESTMENT GRADE CORPORATE BOND,DANSKEINVEST-EN24,100,Booking Holdings,Booking Holdings Inc,BOND,3500000.0,3768220.0,3768220.0,Danske Bank,1,1,1,1,0,1
 2024.12.31,EUROPE,DANSKEINVEST-EN24,103,Siemens,Siemens AG,EQUITY,6884.0,1298047.0,1298047.0,Danske Bank,0,0,0,1,0,1
 2024.12.31,EUROPE HIGH DIVIDEND,DANSKEINVEST-EN24,106,Siemens,Siemens AG,EQUITY,5802.0,1094025.0,1094025.0,Danske Bank,0,0,0,1,0,1
 2024.12.31,EUROPE LONG-SHORT EQUITY FACTORS,DANSKEINVEST-EN24,109,Heidelberg Materials,Heidelberg Materials AG,EQUITY,5225.0,623343.0,623343.0,Danske Bank,1,0,1,1,0,1
 2024.12.31,EUROPEAN CORPORATE SUSTAINABLE BOND,DANSKEINVEST-EN24,118,Siemens,Siemens AG,BOND,2000000.0,2072681.0,2072681.0,Danske Bank,0,0,0,1,0,1
 2024.12.31,GLOBAL EMERGING MARKETS SMALL CAP,DANSKEINVEST-EN24,137,HD Hyundai,HD Hyundai Co. Ltd,EQUITY,6516.0,714385.0,687635.96,Danske Bank,0,0,1,1,0,1
 2024.12.31,GLOBAL INDEX,DANSKEINVEST-EN24,150,Carlsberg Group,Carlsberg Group AS,EQUITY,7603.0,8048925.0,702410.77,Danske Bank,0,0,0,1,0,1
 2024.12.31,GLOBAL INDEX,DANSKEINVEST-EN24,150,Carrefour,Carrefour SA,EQUITY,25398.0,3989817.0,348181.95,Danske Bank,0,0,0,1,0,1
 2024.12.31,GLOBAL INDEX,DANSKEINVEST-EN24,151,Heidelberg Materials,Heidelberg Materials AG,EQUITY,3667.0,5005348.0,436804.96,Danske Bank,1,0,1,1,0,1
 2024.12.31,GLOBAL INDEX,DANSKEINVEST-EN24,152,Siemens,Siemens AG,EQUITY,48259.0,104114400.0,9085819.01,Danske Bank,0,0,0,1,0,1
 2024.12.31,GLOBAL INDEX,DANSKEINVEST-EN24,152,Siemens,Siemens AG,EQUITY,36955.0,21301700.0,1858949.3,Danske Bank,0,0,0,1,0,1
 2024.12.31,GLOBAL INDEX,DANSKEINVEST-EN24,152,Siemens,Siemens AG,EQUITY,15200.0,8904232.0,777051.4,Danske Bank,0,0,0,1,0,1
 2024.12.31,GLOBAL INDEX,DANSKEINVEST-EN24,153,Leonardo,Leonardo SpA,EQUITY,73650.0,21850340.0,1906827.82,Danske Bank,0,0,1,0,0,1
 2024.12.31,GLOBAL INDEX,DANSKEINVEST-EN24,154,FANUC Corp,FANUC Corporation,EQUITY,54325.0,15945825.0,1391554.67,Danske Bank,0,0,1,0,0,1
 2024.12.31,GLOBAL INDEX,DANSKEINVEST-EN24,157,CNH Industrial,CNH Industrial NV,EQUITY,57532.0,7202316.0,628529.19,Danske Bank,0,0,0,1,0,1
